event_no,promotion_type,issue_date
GC526568676654,"Free Insurance","2022-11-04 00:00:00"
GC526482564651,"Free Insurance","2022-11-04 00:00:00"
GC527976645566,"Free Insurance","2022-11-04 00:00:00"
GC526812649168,"Free Insurance","2022-11-04 00:00:00"
GC527494988735,"Free Insurance","2022-11-04 00:00:00"
GC525293162949,"Free Insurance","2022-11-04 00:00:00"
GC526152852376,"Free Insurance","2022-11-04 00:00:00"
GC527293299985,"Free Insurance","2022-11-04 00:00:00"
GC527279233331,"Free Insurance","2022-11-04 00:00:00"
GC524773157542,"Free Insurance","2022-11-04 00:00:00"
GC529187898611,,"2022-11-04 00:00:00"
GC525688321999,,"2022-11-04 00:00:00"
GC521768131372,,"2022-11-04 00:00:00"
GC524162666957,,"2022-11-04 00:00:00"
GC524442391719,,"2022-11-04 00:00:00"
GC522266835514,,"2022-11-04 00:00:00"
GC524543617373,,"2022-11-04 00:00:00"
GC527771666513,,"2022-11-04 00:00:00"
GC528617293967,,"2022-11-04 00:00:00"
GC521774675787,,"2022-11-04 00:00:00"
GC52325957152,,"2022-10-25 00:00:00"
GC526177756782,"Free Insurance","2022-10-25 00:00:00"
GC528253933553,"Free Insurance","2022-10-25 00:00:00"
GC524958248492,"Free Insurance","2022-10-25 00:00:00"
GC524365699277,"Free Insurance","2022-10-25 00:00:00"
GC521383436862,"Free Insurance","2022-10-25 00:00:00"
GC521733378424,"Free Insurance","2022-10-25 00:00:00"
GC523942524694,"Free Insurance","2022-10-25 00:00:00"
GC528934837933,"Free Insurance","2022-10-25 00:00:00"
GC528474964712,"Free Insurance","2022-10-25 00:00:00"
GC529852871419,"Free Insurance","2022-10-25 00:00:00"
GC522694127415,,"2022-10-25 00:00:00"
GC529381328362,,"2022-10-25 00:00:00"
GC525378678927,,"2022-10-25 00:00:00"
GC526766819169,,"2022-10-25 00:00:00"
GC525962558992,,"2022-10-25 00:00:00"
GC527266562292,,"2022-10-25 00:00:00"
GC521516887724,,"2022-10-25 00:00:00"
GC523154193745,,"2022-10-25 00:00:00"
GC525982629679,,"2022-10-25 00:00:00"
GC522834231956,,"2022-10-25 00:00:00"
