event_no,promotion_type,issue_date
GC523624422352,"Free Insurance","2022-11-04 00:00:00"
GC521259232678,"Free Insurance","2022-11-04 00:00:00"
GC522327591759,"Free Insurance","2022-11-04 00:00:00"
GC526779992251,"Free Insurance","2022-11-04 00:00:00"
GC528585121442,"Free Insurance","2022-11-04 00:00:00"
GC521575981818,"Free Insurance","2022-11-04 00:00:00"
GC522872378644,"Free Insurance","2022-11-04 00:00:00"
GC526767115118,"Free Insurance","2022-11-04 00:00:00"
GC526336796532,"Free Insurance","2022-11-04 00:00:00"
GC527686979398,"Free Insurance","2022-11-04 00:00:00"
GC527612729354,,"2022-11-04 00:00:00"
GC525891229572,,"2022-11-04 00:00:00"
GC523197976596,,"2022-11-04 00:00:00"
GC525789477155,,"2022-11-04 00:00:00"
GC528363719449,,"2022-11-04 00:00:00"
GC523256784321,,"2022-11-04 00:00:00"
GC525933891666,,"2022-11-04 00:00:00"
GC529523848694,,"2022-11-04 00:00:00"
GC521871122179,,"2022-11-04 00:00:00"
GC525391315952,,"2022-11-04 00:00:00"
GC52534755795,,"2022-10-25 00:00:00"
GC529199345454,"Free Insurance","2022-10-25 00:00:00"
GC523184667255,"Free Insurance","2022-10-25 00:00:00"
GC524575416783,"Free Insurance","2022-10-25 00:00:00"
GC524163322339,"Free Insurance","2022-10-25 00:00:00"
GC525444315176,"Free Insurance","2022-10-25 00:00:00"
GC525938352959,"Free Insurance","2022-10-25 00:00:00"
GC522389868849,"Free Insurance","2022-10-25 00:00:00"
GC526534768469,"Free Insurance","2022-10-25 00:00:00"
GC522674612192,"Free Insurance","2022-10-25 00:00:00"
GC525671874762,"Free Insurance","2022-10-25 00:00:00"
GC522548845947,,"2022-10-25 00:00:00"
GC524723673842,,"2022-10-25 00:00:00"
GC521969764133,,"2022-10-25 00:00:00"
GC527513573388,,"2022-10-25 00:00:00"
GC525284686438,,"2022-10-25 00:00:00"
GC522731739739,,"2022-10-25 00:00:00"
GC523719678932,,"2022-10-25 00:00:00"
GC528585441913,,"2022-10-25 00:00:00"
GC525751752978,,"2022-10-25 00:00:00"
GC525447359445,,"2022-10-25 00:00:00"
